Codigo,Mes
286,junho/2022 
285,maio/2022 
284,abril/2022 
283,março/2022 
282,fevereiro/2022 
281,janeiro/2022 
280,dezembro/2021 
279,novembro/2021 
278,outubro/2021 
274,setembro/2021 
273,agosto/2021 
272,julho/2021 
271,junho/2021 
270,maio/2021 
267,abril/2021 
266,março/2021 
265,fevereiro/2021 
264,janeiro/2021 
263,dezembro/2020 
262,novembro/2020 
261,outubro/2020 
260,setembro/2020 
259,agosto/2020 
258,julho/2020 
256,junho/2020 
255,maio/2020 
253,abril/2020 
252,março/2020 
251,fevereiro/2020 
250,janeiro/2020 
249,dezembro/2019 
248,novembro/2019 
247,outubro/2019 
246,setembro/2019 
245,agosto/2019 
244,julho/2019 
243,junho/2019 
242,maio/2019 
241,abril/2019 
239,março/2019 
238,fevereiro/2019 
237,janeiro/2019 
236,dezembro/2018 
235,novembro/2018 
234,outubro/2018 
233,setembro/2018 
232,agosto/2018 
231,julho/2018 
230,junho/2018 
229,maio/2018 
228,abril/2018 
227,março/2018 
226,fevereiro/2018 
225,janeiro/2018 
224,dezembro/2017 
219,novembro/2017 
218,outubro/2017 
217,setembro/2017 
216,agosto/2017 
215,julho/2017 
214,junho/2017 
212,maio/2017 
211,abril/2017 
207,março/2017 
205,fevereiro/2017 
202,janeiro/2017 
200,dezembro/2016 
198,novembro/2016 
197,outubro/2016 
196,setembro/2016 
194,agosto/2016 
193,julho/2016 
192,junho/2016 
191,maio/2016 
190,abril/2016 
189,março/2016 
188,fevereiro/2016 
187,janeiro/2016 
186,dezembro/2015 
185,novembro/2015 
184,outubro/2015 
183,setembro/2015 
182,agosto/2015 
181,julho/2015 
180,junho/2015 
179,maio/2015 
178,abril/2015 
176,março/2015 
175,fevereiro/2015 
174,janeiro/2015 
173,dezembro/2014 
172,novembro/2014 
171,outubro/2014 
170,setembro/2014 
169,agosto/2014 
168,julho/2014 
167,junho/2014 
166,maio/2014 
165,abril/2014 
164,março/2014 
163,fevereiro/2014 
162,janeiro/2014 
161,dezembro/2013 
160,novembro/2013 
159,outubro/2013 
158,setembro/2013 
157,agosto/2013 
156,julho/2013 
155,junho/2013 
154,maio/2013 
153,abril/2013 
152,março/2013 
151,fevereiro/2013 
150,janeiro/2013 
149,dezembro/2012 
148,novembro/2012 
147,outubro/2012 
146,setembro/2012 
145,agosto/2012 
144,julho/2012 
143,junho/2012 
142,maio/2012 
141,abril/2012 
140,março/2012 
139,fevereiro/2012 
138,janeiro/2012 
137,dezembro/2011 
136,novembro/2011 
135,outubro/2011 
134,setembro/2011 
133,agosto/2011 
132,julho/2011 
131,junho/2011 
130,maio/2011 
129,abril/2011 
128,março/2011 
127,fevereiro/2011 
126,janeiro/2011 
125,dezembro/2010 
124,novembro/2010 
123,outubro/2010 
122,setembro/2010 
121,agosto/2010 
120,julho/2010 
119,junho/2010 
118,maio/2010 
117,abril/2010 
61,março/2010 
60,fevereiro/2010 
59,janeiro/2010 
58,dezembro/2009 
57,novembro/2009 
56,outubro/2009 
55,setembro/2009 
54,agosto/2009 
53,julho/2009 
52,junho/2009 
51,maio/2009 
50,abril/2009 
49,março/2009 
48,fevereiro/2009 
47,janeiro/2009 
46,dezembro/2008 
45,novembro/2008 
44,outubro/2008 
43,setembro/2008 
42,agosto/2008 
41,julho/2008 
40,junho/2008 
38,maio/2008 
37,abril/2008 
36,março/2008 
35,fevereiro/2008 
34,janeiro/2008 
33,dezembro/2007 
32,novembro/2007 
31,outubro/2007 
30,setembro/2007 
29,agosto/2007 
28,julho/2007 
27,junho/2007 
26,maio/2007 
24,abril/2007 
23,março/2007 
21,fevereiro/2007 
20,janeiro/2007 
19,dezembro/2006 
18,novembro/2006 
17,outubro/2006 
16,setembro/2006 
15,agosto/2006 
14,julho/2006 
13,junho/2006 
12,maio/2006 
11,abril/2006 
10,março/2006 
9,fevereiro/2006 
8,janeiro/2006 
111,dezembro/2005 
6,novembro/2005 
2,outubro/2005 
1,setembro/2005 
7,agosto/2005 
25,julho/2005 
116,junho/2005 
115,maio/2005 
114,abril/2005 
113,março/2005 
112,fevereiro/2005 
110,janeiro/2005 
101,dezembro/2004 
100,novembro/2004 
99,outubro/2004 
109,setembro/2004 
108,agosto/2004 
107,julho/2004 
106,junho/2004 
105,maio/2004 
104,abril/2004 
103,março/2004 
102,fevereiro/2004 
98,janeiro/2004 
89,dezembro/2003 
88,novembro/2003 
87,outubro/2003 
97,setembro/2003 
96,agosto/2003 
95,julho/2003 
94,junho/2003 
93,maio/2003 
92,abril/2003 
91,março/2003 
90,fevereiro/2003 
86,janeiro/2003 
77,dezembro/2002 
76,novembro/2002 
75,outubro/2002 
85,setembro/2002 
84,agosto/2002 
83,julho/2002 
82,junho/2002 
81,maio/2002 
80,abril/2002 
79,março/2002 
78,fevereiro/2002 
74,janeiro/2002 
66,dezembro/2001 
65,novembro/2001 
64,outubro/2001 
73,setembro/2001 
72,agosto/2001 
71,julho/2001 
70,junho/2001 
69,maio/2001 
68,abril/2001 
67,março/2001 
63,fevereiro/2001 
62,janeiro/2001 
